Wall time,Step,Value
1565806716.2042558,5,0.9735056161880493
1565807134.7894332,6,0.9454213380813599
1565808815.0678852,10,0.895136833190918
1565809231.733714,11,0.9064046144485474
1565810070.0959954,13,0.8680616617202759
1565810491.4343615,14,0.9222283959388733
1565810911.333471,15,0.8820198178291321
1565812167.8397343,18,0.8954305648803711
1565812586.0287907,19,0.8702923059463501
1565813000.5794795,20,0.8682260513305664
1565814670.340907,24,0.8745724558830261
1565818431.3475363,33,0.8233106136322021
1565818853.9160912,34,0.797060489654541
1565819691.883576,36,0.7993901968002319
1565821361.5169008,40,0.8254983425140381
1565822191.7573416,42,0.808274507522583
1565823018.7000108,44,0.7914588451385498
1565823438.3654847,45,0.75922691822052
1565824273.5570185,47,0.7340302467346191
1565825101.3407423,49,0.7889201045036316
1565825516.0922496,50,0.7611171007156372
1565826767.067934,53,0.742502748966217
1565827181.8556654,54,0.7918597459793091
1565827598.4322057,55,0.7945778369903564
1565828021.7117238,56,0.7707414627075195
1565828437.139621,57,0.7676714658737183
1565829687.2211728,60,0.7423943281173706
1565830101.1782024,61,0.751248836517334
1565830930.2065375,63,0.7705540657043457
1565831764.217014,65,0.7492484450340271
1565832181.495059,66,0.7490500211715698
1565832596.5335379,67,0.7681865692138672
1565833011.9742036,68,0.7446224093437195
1565834283.413205,71,0.7391934394836426
1565834710.4514787,72,0.746217668056488
1565835123.939884,73,0.734287440776825
1565835537.4411058,74,0.7495658993721008
1565836370.8162704,76,0.7418026924133301
1565837622.5759456,79,0.7332378625869751
1565839713.9633923,84,0.7364469766616821
1565840130.8525748,85,0.7286053895950317
1565840548.6610603,86,0.6957801580429077
1565840963.8433087,87,0.7074732184410095
1565841378.7010927,88,0.7193186283111572
1565841796.4736414,89,0.6923799514770508
1565843869.963537,94,0.71822589635849
1565847186.6274152,102,0.6391298770904541
1565848440.375347,105,0.6895678639411926
1565848856.9394672,106,0.7072833776473999
1565851817.041128,113,0.6720142364501953
1565853066.0489295,116,0.6708179712295532
1565853900.9252975,118,0.709326982498169
1565854316.382469,119,0.6675666570663452
1565854733.8983214,120,0.6360079646110535
1565856406.9480007,124,0.6367911696434021
1565856824.5334525,125,0.6528846025466919
1565857242.1938658,126,0.6467442512512207
1565858488.4488559,129,0.6738948225975037
1565858899.9566948,130,0.6343712210655212
1565861816.8240469,137,0.6622858047485352
1565862662.1476214,139,0.6373664140701294
1565863490.469421,141,0.6775299310684204
1565863917.418321,142,0.6881130337715149
1565864334.6916442,143,0.642708957195282
1565864747.5781345,144,0.6335939168930054
1565866401.9715443,148,0.6580771207809448
1565867229.4524937,150,0.6625244617462158
1565868475.77092,153,0.6519954800605774
1565868892.284272,154,0.6611959934234619
1565869307.0334868,155,0.643639326095581
1565870140.1834335,157,0.6876174211502075
1565870557.9448912,158,0.6345534324645996
1565870975.446538,159,0.6050500869750977
1565872222.15718,162,0.6111066937446594
1565873054.1966865,164,0.6399346590042114
1565873471.912287,165,0.6363834142684937
1565874328.186865,167,0.6465355753898621
1565874746.930564,168,0.6205247044563293
1565876003.7848332,171,0.68670254945755
1565878084.9048872,176,0.63240647315979
1565878504.643051,177,0.635807991027832
1565878925.1954415,178,0.593791663646698
1565879764.253801,180,0.6338100433349609
1565881022.9581938,183,0.598149299621582
1565881840.8447096,185,0.6060417890548706
1565882243.1521962,186,0.6146233677864075
1565883058.9923046,188,0.6439066529273987
1565883871.6364377,190,0.6033754348754883
1565884282.8039262,191,0.5958084464073181
1565887126.7327216,198,0.6427195072174072
1565890369.279117,206,0.6168727874755859
1565890773.1720488,207,0.6204659938812256
1565891175.3731384,208,0.6441527009010315
1565892825.361845,212,0.6616812944412231
1565894026.0634131,215,0.6345586776733398
1565895237.7282274,218,0.6157448291778564
1565895641.5921454,219,0.636683464050293
1565896852.0483603,222,0.6146730780601501
1565897251.5570574,223,0.6442044377326965
1565898071.760606,225,0.6261966228485107
1565898479.452388,226,0.6179319024085999
1565898888.3453734,227,0.6257028579711914
1565899705.6817167,229,0.6298498511314392
1565900930.7583156,232,0.6114808917045593
1565901338.4439154,233,0.6074386835098267
1565901742.5059261,234,0.6231898069381714
1565902953.9179869,237,0.5920121669769287
1565904163.287044,240,0.6423441171646118
1565906183.3331745,245,0.602195680141449
1565907008.212604,247,0.6270489692687988
1565907816.7849267,249,0.6042904853820801
1565908222.132556,250,0.6210464239120483
1565910239.5211542,255,0.613742470741272
1565911447.2028627,258,0.6002964973449707
1565911850.959959,259,0.6054739952087402
1565912255.3449395,260,0.5977441072463989
1565912660.3612676,261,0.6020820140838623
1565913471.0925093,263,0.641444742679596
1565915082.7553864,267,0.6027950048446655
1565915895.749163,269,0.6003724932670593
1565916705.3681114,271,0.6236013174057007
1565917507.6595683,273,0.6060729622840881
1565919528.1351035,278,0.5910742282867432
1565920329.3320453,280,0.5847682952880859
1565921940.8125565,284,0.5729805827140808
1565923951.7529044,289,0.6213585138320923
1565924761.7788124,291,0.5893077254295349
1565925162.3795109,292,0.5952552556991577
1565927175.2916455,297,0.6095360517501831
1565927581.6095,298,0.6181844472885132
1565927995.867242,299,0.5937322974205017
1565928801.6557975,301,0.6055243015289307
1565929205.9825492,302,0.5819296836853027
1565929612.1572137,303,0.5886385440826416
1565931225.4850645,307,0.592939555644989
1565931628.1567864,308,0.5928142070770264
1565932432.6175685,310,0.5970427989959717
1565933634.2760894,313,0.6078260540962219
1565935241.939475,317,0.6015093922615051
1565935642.745653,318,0.5944664478302002
1565936041.3692973,319,0.5858654975891113
1565936441.726052,320,0.5837132334709167
1565937241.6961527,322,0.6036013960838318
1565938450.1786232,325,0.6033740043640137
1565938849.4126093,326,0.6000784635543823
1565939252.736135,327,0.5922970771789551
1565940466.2319643,330,0.6322861313819885
1565940871.2947342,331,0.605216920375824
