Wall time,Step,Value
1565806716.2054114,5,-0.028662919998168945
1565807134.7911532,6,-0.028136014938354492
1565808815.0697236,10,-0.0066144466400146484
1565809231.7411911,11,0.08266967535018921
1565810070.097254,13,0.1199643611907959
1565810491.437263,14,0.14773428440093994
1565810911.3361042,15,0.17479097843170166
1565812167.8410869,18,0.21504372358322144
1565812586.0328107,19,0.20357125997543335
1565813000.580632,20,0.22460424900054932
1565814670.3420386,24,0.248246431350708
1565818431.348917,33,0.22304683923721313
1565818853.918004,34,0.25280338525772095
1565819691.8872705,36,0.26485949754714966
1565821361.5182254,40,0.2350199818611145
1565822191.7585003,42,0.2684668302536011
1565823018.701262,44,0.28659701347351074
1565823438.3737593,45,0.2709815502166748
1565824273.5585399,47,0.2843237519264221
1565825101.343036,49,0.2803407311439514
1565825516.0937188,50,0.30276429653167725
1565826767.0691926,53,0.29462647438049316
1565827181.8579497,54,0.3102627396583557
1565827598.4343941,55,0.29325640201568604
1565828021.7134795,56,0.27683019638061523
1565828437.147956,57,0.2630999684333801
1565829687.2288294,60,0.3330690860748291
1565830101.1794844,61,0.32257378101348877
1565830930.2094376,63,0.27997887134552
1565831764.2190049,65,0.3303881883621216
1565832181.5039637,66,0.34873682260513306
1565832596.5351818,67,0.33403247594833374
1565833011.9753742,68,0.31986522674560547
1565834283.4158015,71,0.3532869815826416
1565834710.453619,72,0.3900038003921509
1565835123.9412217,73,0.3918614387512207
1565835537.4425197,74,0.34386342763900757
1565836370.8173993,76,0.3207123279571533
1565837622.5828137,79,0.3763863444328308
1565839713.9647083,84,0.36001056432724
1565840130.8540378,85,0.3898855447769165
1565840548.6645947,86,0.4136075973510742
1565840963.8445458,87,0.41717320680618286
1565841378.7106295,88,0.3682721257209778
1565841796.4750144,89,0.40278005599975586
1565843869.9659188,94,0.4122852683067322
1565847186.63026,102,0.4353076219558716
1565848440.3765237,105,0.4552343487739563
1565848856.9408214,106,0.37244856357574463
1565851817.0499918,113,0.4350021481513977
1565853066.050354,116,0.4921073913574219
1565853900.927233,118,0.41621077060699463
1565854316.3897946,119,0.4502371549606323
1565854733.9010453,120,0.46597421169281006
1565856406.9529262,124,0.506314754486084
1565856824.5415473,125,0.4708337187767029
1565857242.2026417,126,0.45915651321411133
1565858488.4502382,129,0.48397159576416016
1565858899.9587853,130,0.5053682327270508
1565861816.8256457,137,0.47456663846969604
1565862662.148707,139,0.48298704624176025
1565863490.4720886,141,0.49028611183166504
1565863917.4197912,142,0.47516369819641113
1565864334.6932826,143,0.49340879917144775
1565864747.5795443,144,0.4845495820045471
1565866401.9733534,148,0.48240000009536743
1565867229.4538372,150,0.47621744871139526
1565868475.773435,153,0.5030273199081421
1565868892.2854805,154,0.4753510355949402
1565869307.0352058,155,0.4714338779449463
1565870140.186022,157,0.4725300073623657
1565870557.9460795,158,0.494589626789093
1565870975.4494739,159,0.5114744901657104
1565872222.1582623,162,0.535415768623352
1565873054.1978865,164,0.5063279867172241
1565873471.9140656,165,0.49934542179107666
1565874328.188024,167,0.5151081085205078
1565874746.9325194,168,0.493999183177948
1565876003.7859142,171,0.45226532220840454
1565878084.9061065,176,0.5188536643981934
1565878504.64523,177,0.4917469620704651
1565878925.1973553,178,0.5427340269088745
1565879764.2561824,180,0.5056971907615662
1565881022.9600499,183,0.5220272541046143
1565881840.8522072,185,0.5423452258110046
1565882243.154124,186,0.49934589862823486
1565883058.994095,188,0.492012619972229
1565883871.6434016,190,0.5368363857269287
1565884282.8061004,191,0.5145477056503296
1565887126.7410436,198,0.525384783744812
1565890369.2815692,206,0.5476968884468079
1565890773.1734793,207,0.5132448673248291
1565891175.3804147,208,0.4707745313644409
1565892825.3634531,212,0.504362165927887
1565894026.0652583,215,0.483985960483551
1565895237.7304173,218,0.5393930673599243
1565895641.5933805,219,0.4999188780784607
1565896852.0500252,222,0.4937925338745117
1565897251.558501,223,0.5092977285385132
1565898071.7679763,225,0.49390512704849243
1565898479.4538913,226,0.5055074095726013
1565898888.3490927,227,0.5102845430374146
1565899705.6850996,229,0.5302993059158325
1565900930.7660725,232,0.5212019681930542
1565901338.450305,233,0.537298321723938
1565901742.5071788,234,0.5243463516235352
1565902953.9242725,237,0.5380681157112122
1565904163.2885714,240,0.5323995351791382
1565906183.3419564,245,0.5410581827163696
1565907008.215859,247,0.5055526494979858
1565907816.7871835,249,0.5388221144676208
1565908222.1343818,250,0.5543604493141174
1565910239.5242314,255,0.5223740935325623
1565911447.2140205,258,0.5212233662605286
1565911850.9692879,259,0.5305733680725098
1565912255.3468413,260,0.5529184341430664
1565912660.3628125,261,0.5677518844604492
1565913471.095361,263,0.4950324296951294
1565915082.7569668,267,0.5301730632781982
1565915895.7507312,269,0.5378064513206482
1565916705.3694043,271,0.5523677468299866
1565917507.662213,273,0.5531696081161499
1565919528.1378534,278,0.5463577508926392
1565920329.3331175,280,0.5468654632568359
1565921940.8154156,284,0.5920705795288086
1565923951.7541757,289,0.5407758951187134
1565924761.779683,291,0.5520557165145874
1565925162.3937242,292,0.5428427457809448
1565927175.293197,297,0.5485741496086121
1565927581.6117578,298,0.5122642517089844
1565927995.8696573,299,0.5251837968826294
1565928801.6639829,301,0.5521105527877808
1565929205.9844904,302,0.5525625944137573
1565929612.158775,303,0.5151569247245789
1565931225.494309,307,0.5417697429656982
1565931628.1584325,308,0.5341388583183289
1565932432.618708,310,0.5372425317764282
1565933634.2779396,313,0.5305496454238892
1565935241.941556,317,0.5458518862724304
1565935642.7481387,318,0.5558984279632568
1565936041.3711116,319,0.531580924987793
1565936441.7347295,320,0.571635901927948
1565937241.6985734,322,0.5414595603942871
1565938450.1798723,325,0.5595979690551758
1565938849.4135742,326,0.5515025854110718
1565939252.743249,327,0.5540298223495483
1565940466.23863,330,0.5432389378547668
1565940871.297053,331,0.5358355045318604
1565941680.5653627,333,0.5445327758789062
1565944115.8964453,339,0.552156925201416
1565944919.6013157,341,0.5408271551132202
1565946132.2857575,344,0.5345993041992188
1565946534.9340951,345,0.5623047351837158
1565947340.281083,347,0.5515170097351074
1565947742.126465,348,0.5167773962020874
1565949751.6262898,353,0.5367010831832886
1565950149.688889,354,0.5642948150634766
1565950954.6014128,356,0.5288446545600891
1565951774.630596,358,0.567345380783081
1565952178.0393496,359,0.5498450994491577
1565952583.7751906,360,0.5510177612304688
1565953791.442253,363,0.5603189468383789
1565954195.5116212,364,0.5856943726539612
1565955416.534903,367,0.5507857799530029
1565955821.66241,368,0.5925003886222839
1565956639.4075513,370,0.5685656666755676
1565957043.827506,371,0.5598889589309692
1565957848.3361518,373,0.5359150171279907
1565959462.7190046,377,0.5203965902328491
1565959862.6605573,378,0.5155645608901978
1565960262.7611465,379,0.5291173458099365
1565961061.064715,381,0.550585150718689
1565961456.9841628,382,0.564369797706604
1565963071.316547,386,0.5681033134460449
1565963469.2251542,387,0.549869179725647
1565963869.1544864,388,0.5916861891746521
1565964673.3827856,390,0.5236425399780273
1565965075.0950792,391,0.5418353080749512
1565965477.2001526,392,0.579590916633606
1565965873.3421493,393,0.5627626180648804
1565969519.4488187,402,0.5628130435943604
1565969925.0735698,403,0.5587055683135986
1565971986.3890424,408,0.5696717500686646
1565974829.9649491,415,0.576580822467804
1565975238.5189333,416,0.5485056638717651
1565976860.6355286,420,0.5575448274612427
1565977264.7002103,421,0.5445349216461182
1565977666.5557253,422,0.6091842651367188
1565978472.290636,424,0.5589457750320435
1565979297.883077,426,0.5601890683174133
1565980922.3233776,430,0.5775121450424194
1565984566.1669478,439,0.5473946332931519
1565984968.8808808,440,0.4792702794075012
1565985369.0033324,441,0.5438090562820435
1565985775.5794346,442,0.5332818031311035
1565986594.0385025,444,0.5690706968307495
1565986999.7051606,445,0.5882694125175476
1565988209.6782775,448,0.5367709994316101
1565989415.9596984,451,0.5556514859199524
1565992291.2003212,458,0.601103663444519
1565992707.5431345,459,0.5437948703765869
1565993124.9777737,460,0.5506388545036316
1565993544.4885123,461,0.5267083048820496
1565994392.7442122,463,0.5822975635528564
1565994813.2513933,464,0.6053744554519653
1565996072.660086,467,0.5639022588729858
1565996492.0428016,468,0.5293499231338501
1565996913.6531146,469,0.5861026048660278
1565997758.0993295,471,0.5796117782592773
1565998602.2741163,473,0.5914456844329834
1565999021.3220513,474,0.5767079591751099
1566000701.1395977,478,0.5525827407836914
1566003609.5575523,485,0.5817407369613647
1566004898.8989592,488,0.5648503303527832
1566005316.4431052,489,0.5742769837379456
